Jan,Nov
Raasta,Suruchi
The Vapour Grill,The California Boulevard
IKKA - The Ace Bar,TabulaBeach Cafe
Lanterns Kitchen & Bar,YOLO 21
On the Waterfront - The Lodhi,Lotus Pond
Cafe Wink,Kake Di Hatti
Azoté,The Post Office Cafe
The Ancient Barbeque,SuperHero Cafe
Cafe 21,Maa Tara
buéno,Imperfecto
For God's Cake,Imperfecto
Wendy's,Sutra Gastropub
Yauatcha,Krispy Kreme
The California Boulevard,Pikwik
Twigly,Pema's
Getafix,World In A Box
High5 Cafe & Bar,Creme Castle
Flamess Restaurant & Cafe Village,Q Bistro
Lockup,Moets Stone
Thai High,The Royal Turban
Pizza Hut Delivery,Hard Rock Cafe
Giani's di Hatti,Legends Barbeques
Wenger's Deli,Made In Punjab
Carnatic Cafe,Häagen-Dazs
Donald's Pastry Shop,On the Waterfront - The Lodhi
Maison Des Desserts,Hungry - I
Mama's Buoi,Deck - The Sky Bar
Locale,Monster's Cafe
Delivery Jack,Coastal Reef
Mumbai Matinee,Kake Da Hotel
Nutritious Nation,Italiano
Eggers Madhouse,Striker Pub and Brewery
The CUPnCAKE Factory,Chin Chin
Natural Ice Cream,Pizza Hut
Big Chill,Manhattan Brewery & Bar Exchange
2 Bros Kitchen,Delhicacy
The Masala Trail,Cafe Wink
United Coffee House,Not Just Paranthas
Veg Gulati,Haldiram's
PizzaExpress,Abongchiiz
Spaghetti Kitchen,Big Chill
Batli 29,Cafe 21
Sutra Gastropub,Al Jawahar
TC Bar & Restaurant,United Coffee House
Mughlai Junction,Pepper Kitchen
The Potbelly,TC Bar & Restaurant
Big Chill,Bamboo Shoots
Nazeer Foods,PizzaExpress
Life Caffe,Life Caffe
Nirula's,Spaghetti Kitchen
Chin Chin,Raasta
Cafe 27,Jughead's Fast Food Corner
Biryani Art,Sevilla - The Claridges
Vapour Pub & Brewery,Natraj Dahi Bhalle Wala
Delhicacy,Masala Library
Cafe Turtle,Vapour Pub & Brewery
Colonel's Kababz,Mughlai Junction
Moonshine Cafe & Bar,The CUPnCAKE Factory
2 Bandits Lounge & Bar,Yauatcha
Juliet Basket,Cafe Turtle
Sighri,Icy N Spicy
Q Bistro,Donald's Pastry Shop
Chocolateria San Churro,Flavors Of Chennai
Rollmaal,Dum-Pukht - ITC Maurya
Deck - The Sky Bar,Minar
The California Boulevard,7 Degrees Brauhaus
Sasuraal,Being Chef
Hwealthcafe,Colonel's Kababz
Boombox Brewstreet,Evergreen Sweet House
Olive Bistro,SodaBottleOpenerWala
Town Hall,Sethi's Restaurant & Barbeque
Time Out,Barbeque Company
The Bikers Cafe,Juliet Basket
7 Degrees Brauhaus,Tughlaq
Walk In The Woods,L'Opera
Smoke On Water,Kolkata Biryani House
bluO,Giani's di Hatti
Evergreen Sweet House,The Fatty Bao
Excuse Me Boss,Locale
"Cocktails & Dreams, Speakeasy",Carnatic Cafe
Breads Curry & Biryani,Qubitos - The Terrace Cafe
Kitchen of Awadh,Thok (The House of Kakori)
Striker Pub and Brewery,Big Chill
SuperHero Cafe,Kennedy's
Pepper Kitchen,Naturals Ice Cream
Cherie,Chocolateria San Churro
The Big Chill Cakery,The Potbelly
Dum-Pukht - ITC Maurya,Kitchen of Awadh
Al Zaitoon,Another Fine Day
Natraj Dahi Bhalle Wala,Raasta
Raasta,Nirula's
Happy Hakka,Café 101
Ivy & Bean,Rajasthali
PizzaExpress,Lotus Leaf
Sufiaana,The Big Chill Cakery
The Munchbox,Azoté
The Pasta Bowl Company,Not Just Paranthas
Indian Coffee House,Jamie's Pizzeria By Jamie Oliver
Tughlaq,Bistro 37
Kebab Gali,Cherie
7 Barrel Brew Pub,DJ's Pizza & Pasta
L'Opera,Wendy's
Zaffran,Changezi
Bistro 37,28 Capri Italy
Chef Style,Ki Hangla
Cafe Me,{Niche} - Cafe & Bar
Food Scouts,Cafe 27
Shagun,Shawarma House
Another Fine Day,Zaffran
Sultanat,Lazeez Affaire
Ganesh Restaurant,Town Hall
Da' Pizza Planet,The Yellow Chilli
Burma Burma,FO - Food Overloaded
The Yellow Chilli,Wenger's Deli
Flavors Of Chennai,The Great Kabab Factory
28 Capri Italy,Evergreen Sweet House
Informal,The Drunk House
Guppy,Chungwa
Kitty Su - The Lalit New Delhi,Nizam's Kathi Kabab
Dilli BC,ChocoVault
Cafe Parmesan,Pepper Pot - The Terrace Café
Baby Dragon Bar & Restaurant,Aqua - The Park
Lazeez Affaire,RollsKing
Tonino,Scooter on the Wall
Lord of the Drinks Forum,Bhimsain's Bengali Sweet House
Changezi Chicken,Ambarsari Chowk
Chicken Inn,Carl's Jr.
Swagath,Bombay Brunch
Flip Bistro and Pizzeria,Oakland
Biryani By Kilo,City Socialite
Out Of The Box,Chinese Corner
736 A.D.,Tonino
Changezi,Yum Yum Cha
FIO Cookhouse and Bar,National Highway 44
Instapizza,PizzaExpress
Mood Swingers Cafe,Ganesh Restaurant
Qubitos - The Terrace Cafe,IKKA - The Ace Bar
Aqua - The Park,The Ancient Barbeque
Big Chill,Sense Of Spirits
The Great Kabab Factory,Scorpio Cafe
Made in Punjab,Hi Kolkata
Icy N Spicy,Big Chill
Evergreen Sweet House,Healthy Routes
Uber Lounge,Junglee Billee
Mai Thai,Bengali Sweet Centre
Barbeque Company,Biryani & Qorma Express
Beeryani,Joocy
The Drunk House,Midnight Hunger Hub
Dine-Esty,Sufiaana
Boombox Cafe,The Bento Cafe
Dhaba By Claridges,K3 - JW Marriott New Delhi
Minar,Maison Des Desserts
Carl's Jr.,Slice of Italy
Open Tap,Au Bon Pain
Hinglish - Cafe Beach Bar,Kitty Su - The Lalit New Delhi
Sakley's The Mountain Cafe,Momo's Point
Not Just Paranthas,In The Punjab
The Burger Club,House of Commons
Baljeet's Amritsari Koolcha,Uber Lounge
Zizo,Threesixtyone Degrees - The Oberoi
The Toddy Shop,Cafe Connect
Asia Seven,bluO
Bhimsain's Bengali Sweet House,Nazeer Foods
Sethi's Restaurant & Barbeque,"Cocktails & Dreams, Speakeasy"
La Bodega,Smoke On Water
Legend's,Mai Thai
Carl's Jr.,Shake Square
Pasta Xpress,Sultanat
Threesixtyone Degrees - The Oberoi,New York Slice
Karnataka Food Centre,Side Wok
MR.D - Deliciousness Delivered,Diet N Delicacy
Nukkad Cafe & Bar,Tesoro Mio
Too Mikkii Tapas,Baby Dragon Bar & Restaurant
Mad Over Donuts,Secular House Canteen
{Niche} - Cafe & Bar,Deez Biryani & Kebabs
RollsKing,Vapour Bar Exchange
Maxims Pastry Shop,Ivy & Bean
Keventers,Out Of The Box
Hops n Brew - The Microbrewery,Dhaba By Claridges
New York Slice,Sandwich Factory
Fez Dining and Bar,Moonshine Cafe & Bar
Natural Ice Cream,Beeryani
Rajasthali,Indian Coffee House
The Bento Cafe,Hawkers
Oakland,Baljeet's Amritsari Koolcha
LIT Ultrabar,Fez Dining and Bar
Shiv Sagar,Asia Seven
Casa Asia,2 Bandits Lounge & Bar
Dao,Castle 9
Seasonings - The Spice Mysteries,Pasta Xpress
Cooper's Grill & Bar,Foodiee Night
Fork with Stick,Yo! China
Bengali Sweet Centre,Dockyard Cafe
Benihana,Salad Days
Castle 9,Wendy's
Au Bon Pain,Garam Dharam
Smaaash,Mystery of Food
Nizam's Kathi Kabab,Asian Haus
Nikashee,Chicken Inn
Birdie Num Num,Karnataka Food Centre
