State Name,Market Name,Group,Variety,Grade,Min Price,Max Price,Modal Price,Price Date
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,350,500,425,04-Jun-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,360,460,400,04-Jun-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,375,500,438,05-Jun-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,200,500,300,06-Jun-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,300,400,350,06-Jun-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,200,500,350,07-Jun-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,200,500,350,08-Jun-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,350,525,438,09-Jun-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,300,400,350,09-Jun-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,350,550,450,10-Jun-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,350,525,438,11-Jun-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,500,600,550,12-Jun-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,450,550,500,13-Jun-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,300,400,350,13-Jun-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,450,550,500,14-Jun-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,320,400,350,14-Jun-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,400,550,475,15-Jun-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,310,380,350,15-Jun-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,320,400,350,16-Jun-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,400,550,475,17-Jun-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,400,550,475,18-Jun-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,475,575,525,19-Jun-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,450,550,500,20-Jun-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,260,350,300,20-Jun-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,425,550,488,21-Jun-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,260,350,300,21-Jun-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,350,550,450,22-Jun-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,300,380,350,22-Jun-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,575,650,613,23-Jun-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,310,380,340,23-Jun-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,350,550,450,24-Jun-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,350,550,450,25-Jun-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,300,350,320,25-Jun-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,550,650,600,26-Jun-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,300,400,350,26-Jun-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,500,650,600,27-Jun-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,300,450,400,27-Jun-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,600,700,650,28-Jun-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,300,390,360,28-Jun-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,600,700,650,29-Jun-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,290,360,320,29-Jun-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,600,700,663,30-Jun-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,300,380,320,30-Jun-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,280,320,300,01-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,450,625,550,02-Jul-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,260,350,300,02-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,650,750,713,03-Jul-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,230,300,260,03-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,375,600,500,04-Jul-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,230,330,260,04-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,625,725,675,05-Jul-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,220,300,250,05-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,450,625,550,06-Jul-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,240,360,280,06-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,450,675,600,07-Jul-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,380,500,390,07-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,650,825,750,08-Jul-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,380,510,390,08-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,550,700,650,09-Jul-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,360,500,400,09-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,500,700,600,10-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,550,725,650,11-Jul-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,400,500,440,11-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,575,725,650,12-Jul-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,420,550,500,12-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,500,725,625,13-Jul-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,420,600,550,13-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,600,750,675,14-Jul-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,320,400,350,14-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,550,700,650,15-Jul-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,310,380,350,15-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,500,700,625,16-Jul-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,520,650,600,16-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,550,700,650,17-Jul-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,300,400,350,17-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,575,700,625,18-Jul-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,480,600,520,18-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,550,700,625,19-Jul-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,440,600,560,19-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,550,700,625,20-Jul-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,500,600,550,20-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,550,700,600,21-Jul-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,520,650,600,21-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,550,700,625,22-Jul-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,520,720,620,22-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,500,650,600,23-Jul-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,530,600,550,23-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,500,625,563,24-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,500,625,563,25-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,550,700,650,26-Jul-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,430,520,450,26-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,550,675,625,27-Jul-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,420,480,450,27-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,500,650,575,28-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,500,650,588,29-Jul-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,400,500,400,29-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,550,650,600,30-Jul-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,250,300,280,30-Jul-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,550,650,600,31-Jul-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,400,500,450,31-Jul-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,410,500,460,01-Aug-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,550,675,625,02-Aug-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,400,450,420,02-Aug-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,380,450,400,03-Aug-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,700,800,750,04-Aug-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,370,450,400,04-Aug-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,600,700,650,05-Aug-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,400,500,450,05-Aug-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,575,700,638,06-Aug-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,420,500,450,06-Aug-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,600,700,650,07-Aug-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,420,510,450,07-Aug-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,550,675,613,08-Aug-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,460,580,510,08-Aug-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,500,700,600,09-Aug-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,450,600,500,09-Aug-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,550,700,650,10-Aug-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,480,560,520,10-Aug-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,500,700,600,11-Aug-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,500,580,520,11-Aug-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,500,675,600,12-Aug-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,520,600,540,12-Aug-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,500,650,575,13-Aug-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,520,650,570,13-Aug-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,550,675,613,14-Aug-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,600,700,650,16-Aug-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,550,675,613,17-Aug-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,500,700,625,18-Aug-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,580,650,600,18-Aug-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,575,700,638,19-Aug-03
