State Name,Market Name,Group,Variety,Grade,Min Price,Max Price,Modal Price,Price Date
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,594,1125,638,29-Nov-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,500,1125,563,30-Nov-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,475,1125,538,01-Dec-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,475,1125,538,02-Dec-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,475,600,538,03-Dec-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,625,750,688,05-Dec-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,625,750,680,06-Dec-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,625,750,688,07-Dec-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,500,750,688,08-Dec-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,688,500,09-Dec-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,688,500,10-Dec-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,1188,663,12-Dec-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,500,1125,650,13-Dec-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,500,1125,650,14-Dec-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,500,1125,650,15-Dec-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,531,1125,613,16-Dec-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,525,1125,600,17-Dec-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,500,1125,600,19-Dec-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,500,1063,600,20-Dec-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,500,1063,600,21-Dec-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,475,1000,938,22-Dec-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,475,1063,538,23-Dec-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,475,1063,800,24-Dec-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,475,1000,538,26-Dec-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,475,1000,850,27-Dec-05
